"title","category","location","description","keywords","start_date","start_time","end_date","end_time","alarm","recur_type","recur_end_date","recur_interval","recur_data"
"PJM2-UE","StundenplanTW","UEB_A1.06","Stundenplan
PJM2
SchweiSv
BIF-3C 
UEB_A1.06","Stundenplan","21.11.2019","14:30:00","21.11.2019","16:00:00",,,,,
"AI-VO","StundenplanTW","HS_F2.03","Stundenplan
AI
RedlChr
BIF-3C 
HS_F2.03","Stundenplan","25.11.2019","09:40:00","25.11.2019","11:10:00",,,,,
"DBS-UE","StundenplanTW","EDV_A2.06","Stundenplan
DBS
DocsekMa / WottawFr
BIF-3C 
EDV_A2.06","Stundenplan","25.11.2019","11:20:00","25.11.2019","12:50:00",,,,,
"KFMG-ILV","StundenplanTW","EDV_A6.10","Stundenplan
KFMG
PetzMa
BIF-3C 
EDV_A6.10","Stundenplan","25.11.2019","12:50:00","25.11.2019","14:20:00",,,,,
"VSYS-VO","StundenplanTW","HS_F2.01","Stundenplan
VSYS
NimmerAl
BIF-3C 
HS_F2.01","Stundenplan","26.11.2019","08:45:00","26.11.2019","10:25:00",,,,,
"MAT-UE","StundenplanTW","HS_F2.01","Stundenplan
MAT
PorcheFr
BIF-3C 
HS_F2.01","Stundenplan","26.11.2019","10:25:00","26.11.2019","12:05:00",,,,,
"SWE-UE","StundenplanTW","EDV_A2.07","Stundenplan
SWE
PetzMa / WallisBe
BIF-3C 
EDV_A2.07","Stundenplan","26.11.2019","12:05:00","26.11.2019","13:35:00",,,,,
"DBS-VO","StundenplanTW","HS_F2.01","Stundenplan
DBS
DocsekMa
BIF-3C 
HS_F2.01","Stundenplan","26.11.2019","13:35:00","26.11.2019","15:15:00",,,,,
"MOSY-VO","StundenplanTW","HS_A3.14","Stundenplan
MOSY
WallerDa
BIF-3C 
HS_A3.14","Stundenplan","28.11.2019","09:40:00","28.11.2019","11:10:00",,,,,
"KFMG-ILV","StundenplanTW","EDV_A2.06","Stundenplan
KFMG
PetzMa
BIF-3C 
EDV_A2.06","Stundenplan","02.12.2019","09:40:00","02.12.2019","11:10:00",,,,,
"DBS-UE","StundenplanTW","EDV_A2.07","Stundenplan
DBS
DocsekMa / WottawFr
BIF-3C 
EDV_A2.07","Stundenplan","02.12.2019","11:20:00","02.12.2019","12:50:00",,,,,
"ETS-SE","StundenplanTW","SEM_F5.03","Stundenplan
ETS
Van DaMa
BIF-3C1
SEM_F5.03","Stundenplan","02.12.2019","12:50:00","02.12.2019","14:20:00",,,,,
"INN1-PRJ","StundenplanTW","HS_F2.03","Stundenplan
INN1
DolezaDo / EckkraFl / EckkraFl / FidiHe / FidiHe / FidiHe / GeyerSy / GeyerSy / GeyerSy / HummelMi / MenseAl / MenseAl / MenseAl / MoedriFe / MoedriFe / MoedriFe / Paminger / Paminger / Paminger / RaabGe / RedlChr / RedlChr / RedlChr / RichteGe / RichteGe / RichteGe / RohatsLu / RohatsLu / RohatsLu / UrbauePh / WagnerJo / WagnerJo / WagnerJo / WahlHa
BIF-3C 
HS_F2.03","Stundenplan","03.12.2019","15:15:00","03.12.2019","17:40:00",,,,,
"IO Info","StundenplanTW","HS_A1.04B","Stundenplan
IO Info
wachterj
if-3C
HS_A1.04B","Stundenplan","04.12.2019","14:30:00","04.12.2019","15:15:00",,,,,
"MOSY-UE","StundenplanTW","UEB_A1.08","Stundenplan
MOSY
WallerDa
BIF-3C 
UEB_A1.08","Stundenplan","04.12.2019","15:15:00","04.12.2019","16:55:00",,,,,
"IO Info","StundenplanTW","HS_A1.04B","Stundenplan
IO Info
wachterj
if-3C
HS_A1.04B","Stundenplan","04.12.2019","15:15:00","04.12.2019","16:00:00",,,,,
"SWE-VO","StundenplanTW","HS_F0.02","Stundenplan
SWE
ZaczekAr
BIF-3C 
HS_F0.02","Stundenplan","05.12.2019","08:00:00","05.12.2019","09:30:00",,,,,
"SWE-UE","StundenplanTW","EDV_F1.02","Stundenplan
SWE
HofmanAl / ZaczekAr
BIF-3C 
EDV_F1.02","Stundenplan","05.12.2019","09:40:00","05.12.2019","11:10:00",,,,,
"PJM2-UE","StundenplanTW","HS_F2.03","Stundenplan
PJM2
SchweiSv
BIF-3C 
HS_F2.03","Stundenplan","05.12.2019","11:20:00","05.12.2019","12:50:00",,,,,
"AI-UE","StundenplanTW","EDV_A2.06","Stundenplan
AI
RedlChr / SpielvCl
BIF-3C 
EDV_A2.06","Stundenplan","05.12.2019","16:10:00","05.12.2019","17:40:00",,,,,
"VSYS-UE","StundenplanTW","EDV_F2.02","Stundenplan
VSYS
BergeWol / RongitTh
BIF-3C 
EDV_F2.02","Stundenplan","09.12.2019","08:00:00","09.12.2019","09:30:00",,,,,
"SWE-VO","StundenplanTW","EDV_A2.07 / EDV_A2.06","Stundenplan
SWE
ZaczekAr
BIF-3C 
EDV_A2.07 / EDV_A2.06","Stundenplan","09.12.2019","11:20:00","09.12.2019","12:50:00",,,,,
"ETS-SE","StundenplanTW","HS_F4.02","Stundenplan
ETS
Van DaMa
BIF-3C1
HS_F4.02","Stundenplan","09.12.2019","16:55:00","09.12.2019","18:35:00",,,,,
"KFMG-ILV","StundenplanTW","EDV_A6.09","Stundenplan
KFMG
PetzMa
BIF-3C 
EDV_A6.09","Stundenplan","10.12.2019","11:20:00","10.12.2019","12:50:00",,,,,
"VSYS-VO","StundenplanTW","HS_A1.05","Stundenplan
VSYS
NimmerAl
BIF-3C 
HS_A1.05","Stundenplan","10.12.2019","12:50:00","10.12.2019","14:20:00",,,,,
"DBS-VO","StundenplanTW","HS_A1.05","Stundenplan
DBS
DocsekMa
BIF-3C 
HS_A1.05","Stundenplan","10.12.2019","14:30:00","10.12.2019","16:00:00",,,,,
"AI-VO","StundenplanTW","HS_A1.05","Stundenplan
AI
RedlChr
BIF-3C 
HS_A1.05","Stundenplan","12.12.2019","09:40:00","12.12.2019","11:10:00",,,,,
"KFMG-ILV","StundenplanTW","EDV_A6.10","Stundenplan
KFMG
PetzMa
BIF-3C 
EDV_A6.10","Stundenplan","16.12.2019","09:40:00","16.12.2019","11:10:00",,,,,
"INN1-PRJ","StundenplanTW","HS_F0.02","Stundenplan
INN1
DolezaDo / EckkraFl / EckkraFl / FidiHe / FidiHe / FidiHe / GeyerSy / GeyerSy / GeyerSy / HummelMi / MenseAl / MenseAl / MenseAl / MoedriFe / MoedriFe / MoedriFe / Paminger / Paminger / Paminger / RaabGe / RedlChr / RedlChr / RedlChr / RichteGe / RichteGe / RichteGe / RohatsLu / RohatsLu / RohatsLu / UrbauePh / WagnerJo / WagnerJo / WagnerJo / WahlHa
BIF-3C 
HS_F0.02","Stundenplan","16.12.2019","15:15:00","16.12.2019","17:40:00",,,,,
"MOSY-VO","StundenplanTW","HS_A1.04A","Stundenplan
MOSY
WallerDa
BIF-3C 
HS_A1.04A","Stundenplan","17.12.2019","08:00:00","17.12.2019","09:30:00",,,,,
"SWE-UE","StundenplanTW","EDV_A2.07","Stundenplan
SWE
PetzMa / WallisBe
BIF-3C 
EDV_A2.07","Stundenplan","17.12.2019","09:40:00","17.12.2019","11:10:00",,,,,
"MOSY-UE","StundenplanTW","UEB_A1.08","Stundenplan
MOSY
WallerDa
BIF-3C 
UEB_A1.08","Stundenplan","17.12.2019","11:20:00","17.12.2019","12:50:00",,,,,
"PJM2-UE","StundenplanTW","HS_A3.15","Stundenplan
PJM2
SchweiSv
BIF-3C 
HS_A3.15","Stundenplan","19.12.2019","14:30:00","19.12.2019","16:00:00",,,,,
"AI-UE","StundenplanTW","EDV_F1.02","Stundenplan
AI
RedlChr / SpielvCl
BIF-3C 
EDV_F1.02","Stundenplan","19.12.2019","16:10:00","19.12.2019","17:40:00",,,,,
"MOSY-VO","StundenplanTW","HS_F0.02","Stundenplan
MOSY
WallerDa
BIF-3C 
HS_F0.02","Stundenplan","07.01.2020","10:25:00","07.01.2020","12:05:00",,,,,
"ETS-SE","StundenplanTW","HS_F4.02","Stundenplan
ETS
Van DaMa
BIF-3C1
HS_F4.02","Stundenplan","07.01.2020","12:05:00","07.01.2020","13:35:00",,,,,
"DBS-UE","StundenplanTW","EDV_A2.06","Stundenplan
DBS
DocsekMa / WottawFr
BIF-3C 
EDV_A2.06","Stundenplan","07.01.2020","13:35:00","07.01.2020","15:15:00",,,,,
"VSYS-UE","StundenplanTW","EDV_A2.06","Stundenplan
VSYS
BergeWol / RongitTh
BIF-3C 
EDV_A2.06","Stundenplan","09.01.2020","08:00:00","09.01.2020","09:30:00",,,,,
"SWE-UE","StundenplanTW","EDV_A2.06","Stundenplan
SWE
HofmanAl / ZaczekAr
BIF-3C 
EDV_A2.06","Stundenplan","09.01.2020","09:40:00","09.01.2020","11:10:00",,,,,
"INN1-PRJ","StundenplanTW","HS_F0.02","Stundenplan
INN1
DolezaDo / EckkraFl / EckkraFl / FidiHe / FidiHe / FidiHe / GeyerSy / GeyerSy / GeyerSy / HummelMi / MenseAl / MenseAl / MenseAl / MoedriFe / MoedriFe / MoedriFe / Paminger / Paminger / Paminger / RaabGe / RedlChr / RedlChr / RedlChr / RichteGe / RichteGe / RichteGe / RohatsLu / RohatsLu / RohatsLu / UrbauePh / WagnerJo / WagnerJo / WagnerJo / WahlHa
BIF-3C 
HS_F0.02","Stundenplan","17.01.2020","13:35:00","17.01.2020","16:00:00",,,,,
"VSYS-UE","StundenplanTW","EDV_A2.06","Stundenplan
VSYS
BergeWol / RongitTh
BIF-3C 
EDV_A2.06","Stundenplan","20.01.2020","08:00:00","20.01.2020","09:30:00",,,,,
"MAT-UE","StundenplanTW","HS_F2.03","Stundenplan
MAT
PorcheFr
BIF-3C 
HS_F2.03","Stundenplan","23.01.2020","08:45:00","23.01.2020","10:25:00",,,,,
"INN1-PRJ","StundenplanTW","HS_F2.03","Stundenplan
INN1
DolezaDo / EckkraFl / EckkraFl / FidiHe / FidiHe / FidiHe / GeyerSy / GeyerSy / GeyerSy / HummelMi / MenseAl / MenseAl / MenseAl / MoedriFe / MoedriFe / MoedriFe / Paminger / Paminger / Paminger / RaabGe / RedlChr / RedlChr / RedlChr / RichteGe / RichteGe / RichteGe / RohatsLu / RohatsLu / RohatsLu / UrbauePh / WagnerJo / WagnerJo / WagnerJo / WahlHa
BIF-3C 
HS_F2.03","Stundenplan","27.01.2020","13:35:00","27.01.2020","16:00:00",,,,,
